id, username, created_at, lng, lat, text
1222658042929520641, nicozuniverse, Wed Jan 29 23:09:27 +0000 2020, -87.732013, 41.833585, @fradulentchanel Thank you for saying this cause we live in a very cute bubble here 
1222658043210620928, afeldman_DMV, Wed Jan 29 23:09:28 +0000 2020, -77.118503, 38.981337, @dougboneparth I feel like this is a good opportunity to share with the world that @colehaan white soled crossover… https://t.co/rx744p4cm6 
1222658042317033472, letsnotmeetcast, Wed Jan 29 23:09:27 +0000 2020, -117.851089, 33.842863, Hotel lights #disneylandafterdark #80snight https://t.co/EcArH4TmRE 
1222658044234018820, elmstreet09, Wed Jan 29 23:09:28 +0000 2020, -73.373611, 40.746369, @OfficialOctt the way the baby started crying when he fell tho 🥺 
1222658044389142529, Nardfather5, Wed Jan 29 23:09:28 +0000 2020, -97.343915, 37.683897, Life is hard if you make it hard 
1222658044376571905, nancykaynumber1, Wed Jan 29 23:09:28 +0000 2020, -90.124862, 42.977846, Check out my #listing in #Dodgeville #WI  #realestate #realtor https://t.co/lABgPDm0ED https://t.co/eUxoJ8wBMe 
1222658044795981824, SeketricBarnes, Wed Jan 29 23:09:28 +0000 2020, -93.809434, 32.461107, Tomorrow when we wake up "More details about the Helicopter crash that killed Kobe and 4 ...wait 5..no...6...no...8...9 others " 😂 
1222658045886361601, ed_averill, Wed Jan 29 23:09:28 +0000 2020, -122.805579, 45.484892, @1Dussy @neeratanden So, ur saying that possibly a plurality of voters could be convinced the economy has favored t… https://t.co/k5WQUD4l9Q 
1222658046394077184, Tara_Homsey, Wed Jan 29 23:09:28 +0000 2020, -97.552161, 35.482844, @theFarEastFiles @meangreenmut 😭❤️ 
1222658046884605952, stellancross, Wed Jan 29 23:09:28 +0000 2020, -149.758794, 61.235042, @PDPVanguard @Tina_tinny99 @MBuhari Everything @mbuhari does against Nd'igbo is in advancement of Biafran referendum 
1222658046968680448, KarenMardock, Wed Jan 29 23:09:28 +0000 2020, -76.750389, 39.206741, @NadineGoldberg_ @Google @theskimm @AMC_TV @LinkedIn @DagneDover @FCBHealth @MeredithCorp Thanks, Nadine! Missed you on this year’s trip. 
1222658046360313856, LSienasMD, Wed Jan 29 23:09:28 +0000 2020, -122.923516, 47.064528, Thank you Amber and @LyndaWilson17LD for protecting care for the women of Washington! Let’s extend Apple Health to… https://t.co/82oVgoxjA9 
1222658047497117696, RosePAr47670551, Wed Jan 29 23:09:29 +0000 2020, -80.045939, 32.914424, I have a question for DC politicians on the hill. Why isn't the present Commander in Chief held to the same standar… https://t.co/jOPQAZrCa9 
1222658048004710400, expiredomar, Wed Jan 29 23:09:29 +0000 2020, -75.800141, 45.248791, I love jell o 
1222658048189181953, xoxxxh, Wed Jan 29 23:09:29 +0000 2020, -77.604684, 41.117936, When both of your favorite artist are coming to your school in April and you barely moved here 🤪😁☺️🥳🥳🥳 &gt;&gt;&gt; @iamblackbear @MARCEBASSY 
1222658048377921537, CherisHodges, Wed Jan 29 23:09:29 +0000 2020, -80.846785, 35.209059, @CatwalkDarling Facts! Hot fish, cole slaw and hush puppies 
1222658048440795138, cheljoy2, Wed Jan 29 23:09:29 +0000 2020, -83.173867, 32.678207, I been crying thinking about this 🌚🥺 I really don’t know how to talk about things that are bothering me 🥺 
1222658048038252544, izdbeenfinked, Wed Jan 29 23:09:29 +0000 2020, -87.967292, 43.056722, @jamescharles i didn’t think it would work but it did https://t.co/bRU9QmIOWn 
1222658048683986945, karnaejackson, Wed Jan 29 23:09:29 +0000 2020, -73.968542, 40.780709, dead ass, moaning is my fav 😂 
1222658048742821888, house_man_Balbi, Wed Jan 29 23:09:29 +0000 2020, -75.117998, 40.004866, Dear @Xfinity, I really miss talking to humans, I pushed my way through your auto phone service, tried texting with… https://t.co/YKNmvw17qd 
1222658049397018624, AblemanIsaac21, Wed Jan 29 23:09:29 +0000 2020, -82.096405, 39.320384, Today Bell will donate 5¢ towards #mentalhealth initiatives for each use of #BellLetsTalk. 
1222658049724252167, _ibesolowkey, Wed Jan 29 23:09:29 +0000 2020, -82.400308, 34.783014, can’t wait to experience this moment 😩 
1222658049979977730, EddTheJunkie, Wed Jan 29 23:09:29 +0000 2020, -118.411907, 34.020789, @mari__servin Dark ages😂 
1222658050135293958, marisafox, Wed Jan 29 23:09:29 +0000 2020, -73.968542, 40.780709, @tedcruz For your guy- just like you. Maybe you should ask him what an ankle bracelet feels like. 
1222658050542014464, T00gnation, Wed Jan 29 23:09:29 +0000 2020, -121.998644, 37.973327, Oh the book is coming out watch it 
1222658050932252672, troychewning, Wed Jan 29 23:09:29 +0000 2020, -77.014648, 38.893447, @ithrow88 @PatrickCorbin46 Yeah. Rizzo knew...... bow to the god Mikey Rizz! Lol 
1222658051456618501, looseshoe92, Wed Jan 29 23:09:30 +0000 2020, -99.799311, 32.971970, 9 the Chttps://intothewildedfrnevssblog.com/2019/12/28/my-story/amp/?__twitter_impression=true 
1222658051620012032, Diiixonn, Wed Jan 29 23:09:30 +0000 2020, -118.411907, 34.020789, My mouth is aching a little and I looked and my last wisdom tooth is coming in!! This is the first one that has ever bothered me 
1222658051120910336, HeheWaitWhut, Wed Jan 29 23:09:29 +0000 2020, -112.124676, 33.552863, @TangoGolfKilo https://t.co/MzwneiRJ6A 
1222658052266110981, msruby1, Wed Jan 29 23:09:30 +0000 2020, -74.713583, 40.278782, @maydaymindy9 Hey leave Flo out of this. 
1222658052421275653, luvvap, Wed Jan 29 23:09:30 +0000 2020, -92.257150, 34.788087, what’s y’all snaps ? 
1222658052400275458, EmmeleeW, Wed Jan 29 23:09:30 +0000 2020, -100.076888, 31.168893, @alexiskarshner Omg. 😭😭 thank you! 💞💞 
1222658053037875201, donmikel212, Wed Jan 29 23:09:30 +0000 2020, -83.908928, 43.617282, @RepJerryNadler If the evidence is “overwhelming” and “extensive,” why do we need witnesses? So speakith the Democr… https://t.co/de7UPCcGsC 
1222658053188784128, mumsintheattic, Wed Jan 29 23:09:30 +0000 2020, -75.770041, 42.746617, @ADASpota @YouTube Now that I've been in the country for almost 20 years...I can't decide if I'm happy in both, or… https://t.co/fENlgeie1x 
1222658053234995202, fat_melo, Wed Jan 29 23:09:30 +0000 2020, -77.090869, 38.817380, I’m crying 
1222658053566279681, HopeLutze, Wed Jan 29 23:09:30 +0000 2020, -89.569491, 44.900818, it shouldn’t take the death of a celebrity for you to treat the people in your life with respect. y’all knew life w… https://t.co/FANyWbX5YK 
1222658053226598402, maritstiles, Wed Jan 29 23:09:30 +0000 2020, -79.391316, 43.661987, Today I’m remembering the victims of the January 29, 2017 attack on the Islamic Cultural Centre in Quebec City, by… https://t.co/1wBBGCf82d 
1222658054451343361, abbythegr8st, Wed Jan 29 23:09:30 +0000 2020, -85.964075, 32.942168, 🤣🤣🤣 
1222658054547599361, EddieMae6, Wed Jan 29 23:09:30 +0000 2020, -98.219125, 32.216310, Telling one lie after the other 
1222658055063719936, BriannAtl35, Wed Jan 29 23:09:30 +0000 2020, -83.173867, 32.678207, I struggled with depression in my mid 30’s. It was tough. It was hard opening up to others. Still is when i fall into that rut #BellLetsTalk 
1222658055122239488, _sunnyjr15, Wed Jan 29 23:09:30 +0000 2020, -122.506779, 47.157103, @Coach_Shimko @NW_Spotlight Dm me 
1222658055466295296, JacquelineHine1, Wed Jan 29 23:09:30 +0000 2020, -111.451290, 33.361659, @bj141cox Even those of us who heard her didn't understand a word she said 
1222658055319511040, JaBotika, Wed Jan 29 23:09:30 +0000 2020, -79.272570, 43.629311, @AmitMUFC @kani_ukasha @ManUtd_HQ https://t.co/mhm7mwXt61 
1222658055285985281, bravo17171, Wed Jan 29 23:09:30 +0000 2020, -71.088712, 42.313670, @JoyceWhiteVance Is it an accident she’s the only women on Trumps team? https://t.co/Y4eUnHtQV6 
1222658055642349568, CarlettSerratos, Wed Jan 29 23:09:31 +0000 2020, -117.086778, 32.669810, Aye I swear I was joking 
1222658055596232705, gem1n13, Wed Jan 29 23:09:30 +0000 2020, -122.435979, 37.770657, @sakuradreamboat https://t.co/am89Id959n 
1222658055814418433, halletjulie, Wed Jan 29 23:09:31 +0000 2020, -79.272570, 43.629311, @MSK_GeriOnc Same. Although sometimes hard to understand family dynamics. 
